"","X","ID_clean","ID_preclean","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","middleTime","granule_time","time_difference","granule_id","orbitProp","pathNr","frameNr","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle","points_mask"
"1",0,0,1,"AC-42","A","AC-42A","2017-02-21","50",50,-5,15.76098076,65.90840731,534661.4522,7309911.059,"10:50:00","16:38:38","4:48:00","S1B_IW_SLC__1SDV_20170221T163838_20170221T163905_004401_007A7F_B78D","ASCENDING",175,215,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif","NA","NA","NA","NA"
"2",1,0,1,"AC-42","A","AC-42A","2017-02-21","50",50,-5,15.76098076,65.90840731,534661.4522,7309911.059,"10:50:00","16:38:13","4:48:00","S1B_IW_SLC__1SDV_20170221T163813_20170221T163841_004401_007A7F_64A1","ASCENDING",175,210,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif","NA","NA","NA","0"
"3",2,286,299,"AC-42","C","AC-42C","2017-02-21","110",110,-5,15.68504701,65.89042994,531224.7772,7307867.528,"10:50:00","16:38:38","4:48:00","S1B_IW_SLC__1SDV_20170221T163838_20170221T163905_004401_007A7F_B78D","ASCENDING",175,215,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif","NA","NA","NA","0"
"4",3,286,299,"AC-42","C","AC-42C","2017-02-21","110",110,-5,15.68504701,65.89042994,531224.7772,7307867.528,"10:50:00","16:38:13","4:48:00","S1B_IW_SLC__1SDV_20170221T163813_20170221T163841_004401_007A7F_64A1","ASCENDING",175,210,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif","0.020572623507319","0.0961897308114502","45.7828516212296","0"
"5",4,142,150,"AC-42","B","AC-42B","2017-02-21","85",85,-5,15.76104404,65.87253495,534712.811,7305912.951,"10:50:00","16:38:38","4:48:00","S1B_IW_SLC__1SDV_20170221T163838_20170221T163905_004401_007A7F_B78D","ASCENDING",175,215,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/55_2017-02-21_clip_500/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif","NA","NA","NA","NA"
"6",5,142,150,"AC-42","B","AC-42B","2017-02-21","85",85,-5,15.76104404,65.87253495,534712.811,7305912.951,"10:50:00","16:38:13","4:48:00","S1B_IW_SLC__1SDV_20170221T163813_20170221T163841_004401_007A7F_64A1","ASCENDING",175,210,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/56_2017-02-21_clip_500/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif","NA","NA","NA","0"
"7",6,3,4,"AC-31","A","AC-31A","2017-02-26","20",20,-8,15.59576559,65.98449828,527055.8412,7318310.67,"13:52:30","05:28:38","9:24:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0134778655631744","0.0846239442245188","41.789159856091","0"
"8",7,289,302,"AC-31","C","AC-31C","2017-02-26","65",65,-8,15.68346284,65.98772306,531034.4515,7318710.707,"13:52:30","05:28:38","9:24:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0140583654549739","0.100119773915602","39.3050807057696","0"
"9",8,143,151,"AC-38","B","AC-38B","2017-02-26","75",75,-10,16.06601119,65.92904529,548515.1091,7312413.359,"08:55:00","05:28:38","4:27:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.014765693774903","0.102809926595787","34.4479341048418","0"
"10",9,287,300,"AC-38","C","AC-38C","2017-02-26","75",75,-10,16.11606048,65.89957289,550851.1264,7309168.337,"08:55:00","05:28:38","4:27:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0151479478958036","0.11973086981698","34.2569974230955","0"
